title,code,type,last update of data,last table structure change,data start,data end,start_year,start_period,end_year,end_period,domain
"Employment rate by sex, age groups, educational attainment level and household composition (%)",LFST_HHEREDTY,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Number of persons by sex, age groups, household composition and educational attainment level (1 000)",LFST_HHINDED,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Number of persons by sex, age groups, household composition and working status (1 000)",LFST_HHINDWS,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Number of households by migration status, working status and household composition",LFST_HHMGSCOMP,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2021,2024,2021.0,,2024.0,,LFST
"Number of households by household composition, number of children and age of youngest child (1 000)",LFST_HHNHTYCH,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Number of households by household composition, number of children and working status within households (1 000)",LFST_HHNHWHTC,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Percentage of part-time employment of adults by sex, age groups, number of children and age of youngest child",LFST_HHPTECHI,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Percentage of part-time employment by sex, age groups and household composition",LFST_HHPTETY,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Percentage of self-employed adults by sex, age groups, number of children and age of youngest child",LFST_HHSECHI,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Percentage of self-employed by sex, age groups and household composition",LFST_HHSETY,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Percentage of temporary contracts for adults by sex, age groups, number of children and age of youngest child",LFST_HHTEMCHI,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Percentage of temporary contracts by sex, age groups and household composition",LFST_HHTEMTY,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
